Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Faculty Chair Endowments,Salem,College of Arts and Sciences,Endowment,7620,2014-05-25,Arts & Letters-General,2930,OR
University Annual Fund,Louisville,College of Arts and Sciences,Endowment,7430,2014-04-21,German,2931,KY
University Libraries,Madison,College of Arts and Sciences,Campus Resource,9839,2014-01-19,Experience Architecture,2932,WI
College of Natural Science,San Diego,College of Nursing,Scholarship,62000,2014-04-18,Summer Research Program,2933,CA
College of Political Science,San Francisco,College of Agriculture and Natural Resources,Scholarship,2869,2014-10-10,Agriculture and Natural Resources-No Preference,2934,CA
Athletics,Durham,College of Agriculture and Natural Resources,Campus Resource,5329,2014-05-19,Interior Design,2935,NC
Alumni Association,New York,College of Business,Campus Resource,5388,2014-07-24,Supply Chain Management,2936,NY
College of Business,New York,College of Agriculture and Natural Resources,Scholarship,9537,2014-01-06,Animal Science,2937,NY
Honors Program,Boston,College of Political Science,Campus Resource,2575,2014-10-25,Social Relations and Policy,2938,MA
College of Social Science,Phoenix,College of Business,Scholarship,9871,2014-03-18,Human Resource Management,2939,AZ
Faculty Chair Endowments,Louisville,College of Arts and Sciences,Endowment,8611,2014-09-30,German,2940,KY
University Libraries,Tulsa,College of Arts and Sciences,Campus Resource,8527,2014-09-30,French,2941,OK
College of Social Science,Durham,College of Arts and Sciences,Scholarship,5121,2014-07-05,Global Studies in the Arts and Humanities,2942,NC
College of Engineering,Denver,College of Arts and Sciences,Scholarship,33357,2014-10-23,Apparel and Textiles,2943,CO
University Libraries,Denver,College of Business,Campus Resource,11362.5,2014-05-21,General Management,2944,CO
Diversity Fund,Charleston,College of Social Science,Endowment,3957,2014-12-11,Interdisciplinary Studies in Social Science,2945,SC
Athletics,Overland Park,College of Social Science,Campus Resource,4875,2014-06-13,History Education,2946,KS
College of Arts and Sciences,Naperville,College of Arts and Sciences,Scholarship,8053,2014-01-01,Interdisciplinary Humanities,2947,IL
College of Arts and Sciences,Richmond,College of Education,Scholarship,7060,2014-05-26,Education,2948,VA
Honors Program,Indianapolis,College of Arts and Sciences,Campus Resource,6770,2014-04-29,Russian,2949,IN
College of Arts and Sciences,Hartford,College of Communication Arts and Sciences,Scholarship,1091,2014-07-20,Journalism,2950,CT
College of Arts and Sciences,Wichita,College of Music,Scholarship,6405,2014-05-18,Music Performance,2951,KS
University Libraries,Dallas,College of Natural Science,Campus Resource,8085,2014-09-08,Physical Science Interdepartmental,2952,TX
College of Veterinary Medicine,New York,College of Political Science,Scholarship,45468,2014-04-27,Comparative Cultures and Politics,2953,NY
Diversity Fund,Oklahoma City,College of Arts and Sciences,Endowment,6933,2014-07-09,Philosophy,2954,OK
Athletics,Anaheim,College of Natural Science,Campus Resource,1491,2014-07-23,Biological Science Interdepartmental,2955,CA
Parents Association,Las Vegas,College of Agriculture and Natural Resources,Campus Resource,7945,2014-06-30,Animal Science,2956,NV
University Annual Fund,Albuquerque,College of Engineering,Endowment,5894,2014-10-30,Electrical Engineering,2957,NM
Honors Program,Charleston,College of Agriculture and Natural Resources,Campus Resource,6762,2014-09-27,Animal Science,2958,SC
College of Social Science,Lansing,College of Arts and Sciences,Scholarship,6417,2014-12-31,Apparel and Textiles,2959,MI
University Annual Fund,San Francisco,College of Social Science,Endowment,8127,2014-09-02,Interdisciplinary Studies in Social Science,2960,CA
University Annual Fund,Chicago,College of Natural Science,Endowment,4424,2014-10-10,Environmental Biology/Plant Biol,2961,IL
Campus Museums,Lincoln,College of Arts and Sciences,Campus Resource,2939,2014-08-25,Linguistics,2962,NE
University Annual Fund,Mesa,College of Arts and Sciences,Endowment,3373,2014-04-17,Apparel and Textile Design,2963,AZ
University Annual Fund,Knoxville,College of Arts and Sciences,Endowment,1137,2014-11-11,Art Education,2964,TN
Diversity Fund,West Valley City,College of Natural Science,Endowment,2925,2014-11-08,Biomedical Laboratory Science,2965,UT
College of Education,Atlanta,College of Agriculture and Natural Resources,Scholarship,10,2014-06-14,Fisheries and Wildlife,2966,GA
Minority Scholarship Fund,Manchester,College of Engineering,Scholarship,76,2014-08-14,Computer Engineering,2967,NH
Faculty Chair Endowments,Alexandria,College of Political Science,Endowment,9256,2014-03-14,Political Theory and Constitutional Democracy,2968,VA
University Annual Fund,Sacramento,College of Social Science,Endowment,7544,2014-12-12,Global & Area Studies - Soc Sci,2969,CA
College of Political Science,Nashville,College of Natural Science,Scholarship,4105,2014-03-14,Microbiology,2970,TN
Faculty Chair Endowments,Huntsville,College of Social Science,Endowment,8974,2014-01-26,History Education,2971,AL
Faculty Chair Endowments,Little Rock,College of Social Science,Endowment,8764,2014-11-20,Urban and Regional Planning,2972,AR
College of Natural Science,Austin,College of Agriculture and Natural Resources,Scholarship,1672,2014-05-31,Horticulture,2973,TX
Diversity Fund,Cedar Rapids,College of Veterinary Medicine,Endowment,8860,2014-03-04,Preveterinary,2974,IA
Trustees Fund,Naperville,College of Engineering,Endowment,9489,2014-03-18,Applied Engineering Sciences,2975,IL
University Annual Fund,Denver,College of Social Science,Endowment,3078,2014-06-01,Criminal Justice,2976,CO
Trustees Fund,Memphis,College of Social Science,Endowment,174,2014-02-20,Interdisciplinary Studies in Social Science - Social Science Education,2977,TN
Diversity Fund,Austin,College of Natural Science,Endowment,6049,2014-12-14,Physical Science Interdepartmental,2978,TX
Trustees Fund,Los Angeles,College of Arts and Sciences,Endowment,5378,2014-10-30,Interdisciplinary Humanities,2979,CA
Athletics,Denver,College of Agriculture and Natural Resources,Campus Resource,11158.5,2014-10-05,Interior Design,2980,CO
In-State Scholarship Fund,Denver,College of Nursing,Scholarship,7594.5,2014-11-19,Nursing,2981,CO
College of Business,Washington,College of Social Science,Scholarship,9426,2014-02-25,Global & Area Studies - Soc Sci,2982,DC
College of Arts and Sciences,Houston,College of Natural Science,Scholarship,7048,2014-08-03,Preoptometry,2983,TX
Trustees Fund,Los Angeles,College of Social Science,Endowment,2242,2014-10-14,Political Science-Prelaw,2984,CA
Diversity Fund,Cincinnati,College of Natural Science,Endowment,2891,2014-06-22,Predental,2985,OH
College of Arts and Sciences,Tallahassee,College of Social Science,Scholarship,4048,2014-07-04,Psychology,2986,FL
Minority Scholarship Fund,Raleigh,College of Natural Science,Scholarship,2319,2014-09-08,Astrophysics,2987,NC
College of Arts and Sciences,Chicago,College of Arts and Sciences,Scholarship,8943,2014-10-10,Spanish,2988,IL
College of Natural Science,Phoenix,College of Engineering,Scholarship,4579,2014-06-04,Materials Science and Engineering,2989,AZ
Trustees Fund,Kansas City,College of Natural Science,Endowment,544,2014-10-10,Actuarial Science,2990,MO
Parents Association,Reno,College of Agriculture and Natural Resources,Campus Resource,8784,2014-08-24,Agribusiness Management,2991,NV
In-State Scholarship Fund,Omaha,College of Music,Scholarship,6905,2014-11-11,Composition,2992,NE
Diversity Fund,Atlanta,College of Arts and Sciences,Endowment,9724,2014-11-05,Studio Art,2993,GA
College of Natural Science,Denver,College of Natural Science,Scholarship,6628.5,2014-11-19,Environmental Geosciences,2994,CO
Diversity Fund,Manchester,College of Engineering,Endowment,6432,2014-04-27,Computer Science,2995,NH
Campus Recreation,Fort Lauderdale,College of Arts and Sciences,Campus Resource,3228,2014-07-26,Apparel and Textile Design,2996,FL
College of Social Science,Nashville,College of Business,Scholarship,9683,2014-10-10,Human Resource Management,2997,TN
Trustees Fund,Richmond,College of Political Science,Endowment,4580,2014-02-03,Comparative Cultures and Politics,2998,VA
Diversity Fund,Denver,College of Business,Endowment,1089,2014-02-13,Human Resource Management,2999,CO
Faculty Chair Endowments,Cincinnati,College of Natural Science,Endowment,5866,2014-05-28,Biological Science Interdepartmental,3000,OH
College of Social Science,Little Rock,College of Social Science,Scholarship,6978,2014-04-03,Public Policy,3001,AR
College of Social Science,Boston,College of Agriculture and Natural Resources,Scholarship,2750,2014-07-24,Nutritional Sciences,3002,MA
College of Natural Science,Miami,College of Music,Scholarship,3736,2014-07-14,Jazz Studies,3003,FL
Trustees Fund,Charlotte,College of Engineering,Endowment,103,2014-04-26,Materials Science and Engineering,3004,NC
Athletics,Phoenix,College of Agriculture and Natural Resources,Campus Resource,2697,2014-01-29,Animal Science,3005,AZ
College of Natural Science,Boston,College of Agriculture and Natural Resources,Scholarship,6404,2014-10-12,Natural Resource Recreation and Tourism,3006,MA
University Annual Fund,Dallas,College of Engineering,Endowment,4323,2014-09-12,Mechanical Engineering,3007,TX
In-State Scholarship Fund,Tallahassee,College of Natural Science,Scholarship,5898,2014-07-17,"Mathematics, Advanced",3008,FL
College of Arts and Sciences,Miami,College of Agriculture and Natural Resources,Scholarship,8644,2014-03-16,Interior Design,3009,FL
Minority Scholarship Fund,Durham,College of Natural Science,Scholarship,2242,2014-09-09,Zoology,3010,NC
Diversity Fund,Orlando,College of Social Science,Endowment,7639,2014-05-01,Criminal Justice,3011,FL
Parents Association,New York,College of Natural Science,Campus Resource,8481,2014-11-10,"Mathematics, Advanced",3012,NY
Diversity Fund,Cleveland,College of Arts and Sciences,Endowment,7050,2014-04-07,German,3013,OH
Honors Program,Manchester,College of Arts and Sciences,Campus Resource,5030,2014-07-14,Arts & Letters-General,3014,NH
University Annual Fund,Raleigh,College of Social Science,Endowment,9490,2014-01-06,Anthropology,3015,NC
Trustees Fund,Chicago,College of Business,Endowment,7846,2014-01-29,Finance,3016,IL
Trustees Fund,Phoenix,College of Arts and Sciences,Endowment,7583,2014-03-28,Global Studies in the Arts and Humanities,3017,AZ
College of Political Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,7899,2014-11-23,Entomology,3018,AZ
College of Political Science,Phoenix,College of Social Science,Scholarship,2277,2014-05-03,Sociology,3019,AZ
University Annual Fund,Denver,College of Natural Science,Endowment,10593,2015-02-27,Genomics & Molecular Genetics,3020,CO
College of Arts and Sciences,Austin,College of Agriculture and Natural Resources,Scholarship,14497,2015-08-21,Packaging,3021,TX
College of Arts and Sciences,Little Rock,College of Agriculture and Natural Resources,Scholarship,7638,2015-12-13,Horticulture,3022,AR
Trustees Fund,Naperville,College of Business,Endowment,9830,2015-01-22,Human Resource Management,3023,IL
Parents Association,Seattle,College of Social Science,Campus Resource,14464,2015-12-16,Human Development and Family Studies,3024,WA
Minority Scholarship Fund,Milwaukee,College of Agriculture and Natural Resources,Scholarship,6482,2015-02-26,Nutritional Sciences,3025,WI
College of Arts and Sciences,Boston,College of Engineering,Scholarship,7455,2015-05-14,Electrical Engineering,3026,MA
College of Social Science,Atlanta,College of Business,Scholarship,5434,2015-10-08,General Management,3027,GA
College of Social Science,Philadelphia,College of Social Science,Scholarship,4171,2015-02-13,Interdisciplinary Studies in Social Science - Social Science Education,3028,PA
Trustees Fund,Denver,College of Social Science,Endowment,18682.5,2015-02-26,Criminal Justice,3029,CO
Campus Recreation,Cincinnati,College of Arts and Sciences,Campus Resource,9909,2015-03-27,Global Studies in the Arts and Humanities,3030,OH
Diversity Fund,Tucson,College of Business,Endowment,14033,2015-07-05,Supply Chain Management,3031,AZ
Athletics,Naperville,College of Arts and Sciences,Campus Resource,12318,2015-05-27,Apparel and Textile Design,3032,IL
College of Education,Dallas,College of Natural Science,Scholarship,10177,2015-09-21,Geological Sciences,3033,TX
Athletics,San Francisco,College of Agriculture and Natural Resources,Campus Resource,1822,2015-09-04,Landscape Architecture,3034,CA
Athletics,Charlotte,College of Social Science,Campus Resource,3514,2015-05-27,Political Science,3035,NC
College of Arts and Sciences,Las Vegas,College of Arts and Sciences,Scholarship,8765,2015-02-07,Art History and Visual Culture,3036,NV
College of Natural Science,Lansing,College of Social Science,Scholarship,6953,2015-04-30,World Politics,3037,MI
College of Natural Science,Cleveland,College of Arts and Sciences,Scholarship,11183,2015-11-16,Humanities-Prelaw,3038,OH
College of Natural Science,Oklahoma City,College of Agriculture and Natural Resources,Scholarship,12675,2015-04-16,Natural Resource Recreation and Tourism,3039,OK
In-State Scholarship Fund,Richmond,College of Veterinary Medicine,Scholarship,4742,2015-04-30,Preveterinary,3040,VA
In-State Scholarship Fund,Baton Rouge,College of Music,Scholarship,14331,2015-05-15,Jazz Studies,3041,LA
College of Agriculture and Natural Resources,San Francisco,College of Natural Science,Scholarship,14979,2015-09-03,Physical Science Interdepartmental,3042,CA
Minority Scholarship Fund,Houston,College of Engineering,Scholarship,12183,2015-11-22,Computer Engineering,3043,TX
Trustees Fund,Kansas City,College of Education,Endowment,4036,2015-05-27,Athletic Training,3044,MO
Campus Recreation,Denver,College of Arts and Sciences,Campus Resource,9199.5,2015-08-25,Studio Art,3045,CO
Parents Association,Raleigh,College of Natural Science,Campus Resource,15252,2015-06-13,Human Biology,3046,NC
Campus Recreation,Dallas,College of Natural Science,Campus Resource,15020,2015-12-09,Biochemistry and Molecular Biology/Biotechnology,3047,TX
College of Natural Science,Louisville,College of Arts and Sciences,Scholarship,8880,2015-09-21,Humanities-Prelaw,3048,KY
Diversity Fund,Phoenix,College of Social Science,Endowment,14168,2015-10-18,Urban and Regional Planning,3049,AZ
Trustees Fund,New York,College of Agriculture and Natural Resources,Endowment,3270,2015-04-30,Food Science,3050,NY
University Libraries,San Antonio,College of Business,Campus Resource,750,2015-01-27,Finance,3051,TX
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,10483,2015-06-01,Apparel and Textile Design,3052,CA
University Libraries,Denver,College of Agriculture and Natural Resources,Campus Resource,16510.5,2015-12-15,Environmental Economics and Policy,3053,CO
Alumni Association,Richmond,College of Engineering,Campus Resource,1782,2015-02-13,Biosystems Engineering,3054,VA
Alumni Association,Springfield,College of Arts and Sciences,Campus Resource,2877,2015-03-10,Global Studies in the Arts and Humanities,3055,IL
Honors Program,Charleston,College of Music,Campus Resource,14955,2015-05-10,Composition,3056,SC
College of Natural Science,Houston,College of Music,Scholarship,1286,2015-03-10,Composition,3057,TX
University Annual Fund,San Antonio,College of Social Science,Endowment,10739,2015-08-23,Sociology,3058,TX
Campus Recreation,Anaheim,College of Arts and Sciences,Campus Resource,9425,2015-02-27,Spanish,3059,CA
College of Arts and Sciences,Baton Rouge,College of Social Science,Scholarship,9354,2015-12-28,Public Policy,3060,LA
University Annual Fund,Salt Lake City,College of Social Science,Endowment,7664,2015-02-04,Geographic Information Science,3061,UT
College of Arts and Sciences,Denver,College of Music,Scholarship,10672.5,2015-03-31,Music,3062,CO
College of Arts and Sciences,New Orleans,College of Social Science,Scholarship,5890,2015-04-22,Interdisciplinary Studies in Social Science,3063,LA
College of Arts and Sciences,Memphis,College of Education,Scholarship,12925,2015-01-05,Special Education-Learning Disabilities,3064,TN
Diversity Fund,Denver,College of Music,Endowment,12184.5,2015-03-14,Music Performance,3065,CO
Campus Museums,Oklahoma City,College of Music,Campus Resource,13339,2015-10-11,Composition,3066,OK
Trustees Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,11243,2015-08-29,Animal Science,3067,CA
College of Engineering,New York,College of Natural Science,Scholarship,5498,2015-10-22,Biochemistry and Molecular Biology,3068,NY
Trustees Fund,Paterson,College of Social Science,Endowment,4383,2015-10-18,Interdisciplinary Studies in Social Science,3069,NJ
Diversity Fund,Tucson,College of Business,Endowment,9240,2015-11-06,Marketing,3070,AZ
College of Education,Kansas City,College of Agriculture and Natural Resources,Scholarship,1818,2015-09-28,Fisheries and Wildlife,3071,MO
Faculty Chair Endowments,Grand Rapids,College of Social Science,Endowment,9425,2015-07-17,Human Development and Family Studies,3072,MI
University Annual Fund,Tallahassee,College of Natural Science,Endowment,12492,2015-07-30,Environmental Biology/Zoology,3073,FL
Trustees Fund,Phoenix,College of Natural Science,Endowment,5859,2015-04-10,Biological Science Interdepartmental,3074,AZ
Parents Association,New York,College of Education,Campus Resource,13484,2015-04-30,Education,3075,NY
College of Engineering,Dallas,College of Political Science,Scholarship,10088,2015-11-18,Comparative Cultures and Politics,3076,TX
Diversity Fund,Knoxville,College of Social Science,Endowment,1577,2015-11-12,Urban and Regional Planning,3077,TN
College of Natural Science,Richmond,College of Agriculture and Natural Resources,Scholarship,12803,2015-08-25,Food Industry Management,3078,VA
Faculty Chair Endowments,Milwaukee,College of Natural Science,Endowment,12909,2015-12-11,Geological Sciences,3079,WI
University Annual Fund,New York,College of Natural Science,Endowment,4037,2015-10-28,Biochemistry and Molecular Biology,3080,NY
Diversity Fund,Lexington,College of Natural Science,Endowment,11973,2015-06-06,"Mathematics, Advanced",3081,KY
Trustees Fund,San Francisco,College of Political Science,Endowment,13847,2015-05-15,Comparative Cultures and Politics,3082,CA
University Annual Fund,Grand Rapids,College of Natural Science,Endowment,9407,2015-09-12,Earth Science Interdepartmental,3083,MI
College of Communication Arts and Sciences,Kansas City,College of Political Science,Scholarship,7582,2015-12-31,Political Theory and Constitutional Democracy,3084,MO
College of Natural Science,Seattle,College of Political Science,Scholarship,4089,2015-07-22,Social Relations and Policy,3085,WA
Faculty Chair Endowments,San Antonio,College of Business,Endowment,2823,2015-10-13,Accounting,3086,TX
Campus Museums,Hartford,College of Social Science,Campus Resource,11107,2015-04-04,Social Work,3087,CT
Diversity Fund,Chicago,College of Communication Arts and Sciences,Endowment,6761,2015-03-02,Journalism,3088,IL
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,6368,2015-12-10,Philosophy,3089,CA
College of Arts and Sciences,Winston-salem,College of Arts and Sciences,Scholarship,12251,2015-06-14,French,3090,NC
Trustees Fund,Denver,College of Engineering,Endowment,2470.5,2015-05-31,Mechanical Engineering,3091,CO
University Libraries,Richmond,College of Natural Science,Campus Resource,6243,2015-12-14,Neuroscience,3092,VA
College of Political Science,Lincoln,College of Business,Scholarship,2647,2015-09-20,Finance,3093,NE
Diversity Fund,Sacramento,College of Arts and Sciences,Endowment,15194,2015-05-17,Chinese,3094,CA
Alumni Association,Denver,College of Communication Arts and Sciences,Campus Resource,16446,2015-04-13,Advertising,3095,CO
College of Nursing,Denver,College of Business,Scholarship,16951.5,2015-03-02,General Management,3096,CO
Diversity Fund,Denver,College of Nursing,Endowment,5401.5,2015-08-16,Prenursing,3097,CO
Parents Association,Colorado Springs,College of Agriculture and Natural Resources,Campus Resource,790,2015-09-07,Natural Resource Recreation and Tourism,3098,CO
University Annual Fund,Nashville,College of Business,Endowment,11431,2015-02-19,Supply Chain Management,3099,TN
College of Arts and Sciences,Savannah,College of Social Science,Scholarship,11038,2015-01-17,Geography,3100,GA
College of Natural Science,Los Angeles,College of Arts and Sciences,Scholarship,10687,2015-12-01,Linguistics,3101,CA
College of Natural Science,West Valley City,College of Arts and Sciences,Scholarship,428,2015-11-07,Apparel and Textiles,3102,UT
College of Natural Science,Kansas City,College of Social Science,Scholarship,1885,2015-11-01,Psychology,3103,MO
Athletics,San Francisco,College of Arts and Sciences,Campus Resource,13793,2015-10-01,Linguistics,3104,CA
Diversity Fund,Grand Rapids,College of Engineering,Endowment,12768,2015-01-27,Mechanical Engineering,3105,MI
Alumni Association,Phoenix,College of Arts and Sciences,Campus Resource,7795,2015-03-25,Arabic,3106,AZ
Campus Museums,New York,College of Social Science,Campus Resource,7197,2015-11-22,History Education,3107,NY
Minority Scholarship Fund,Miami,College of Agriculture and Natural Resources,Scholarship,10473,2015-12-05,Construction Management,3108,FL
Diversity Fund,Memphis,College of Agriculture and Natural Resources,Endowment,13324,2015-01-19,Environmental Studies and Agriscience,3109,TN
Trustees Fund,Los Angeles,College of Natural Science,Endowment,934,2015-09-05,Biochemistry and Molecular Biology,3110,CA
College of Agriculture and Natural Resources,Alexandria,College of Agriculture and Natural Resources,Scholarship,13030,2015-05-07,Food Science,3111,VA
University Annual Fund,New Haven,College of Nursing,Endowment,14943,2015-01-31,Summer Research Program,3112,CT
College of Natural Science,Jacksonville,College of Arts and Sciences,Scholarship,7534,2015-03-15,Arts & Letters-General,3113,FL
College of Natural Science,Dallas,College of Natural Science,Scholarship,338,2015-04-02,Zoology,3114,TX
Honors Program,San Diego,College of Social Science,Campus Resource,1180,2015-02-01,History,3115,CA
College of Natural Science,Oklahoma City,College of Natural Science,Scholarship,10598,2015-10-29,Neuroscience,3116,OK
Diversity Fund,New York,College of Social Science,Endowment,260,2015-01-31,Social Work,3117,NY
Trustees Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,14961,2015-04-18,Animal Science,3118,CA
Campus Museums,Portland,College of Natural Science,Campus Resource,1395,2015-04-27,Biomedical Laboratory Science,3119,OR
In-State Scholarship Fund,Provo,College of Agriculture and Natural Resources,Scholarship,9635,2015-10-09,Interior Design,3120,UT
College of Education,Phoenix,College of Natural Science,Scholarship,2467,2015-02-19,Human Biology,3121,AZ
Minority Scholarship Fund,Denver,College of Arts and Sciences,Scholarship,13494,2015-12-07,Linguistics,3122,CO
College of Agriculture and Natural Resources,Denver,College of Arts and Sciences,Scholarship,9708,2015-09-10,German,3123,CO
College of Agriculture and Natural Resources,Seattle,College of Natural Science,Scholarship,13327,2015-04-03,Biochemistry and Molecular Biology/Biotechnology,3124,WA
Campus Museums,Mesa,College of Agriculture and Natural Resources,Campus Resource,9400,2015-07-17,Natural Resource Recreation and Tourism,3125,AZ
Parents Association,Sacramento,College of Arts and Sciences,Campus Resource,13058,2015-08-22,Philosophy,3126,CA
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,6216,2015-03-07,Interdisciplinary Humanities,3127,CO
Campus Recreation,Denver,College of Social Science,Campus Resource,4636.5,2015-01-09,Political Science-Prelaw,3128,CO
Honors Program,North Las Vegas,College of Social Science,Campus Resource,15489,2015-07-16,Interdisciplinary Studies in Social Science,3129,NV
Campus Museums,Chicago,College of Agriculture and Natural Resources,Campus Resource,1782,2015-11-30,Horticulture,3130,IL
Faculty Chair Endowments,Dallas,College of Social Science,Endowment,1999,2015-04-01,Political Science,3131,TX
Campus Recreation,Pittsburgh,College of Social Science,Campus Resource,11176,2015-10-07,Geographic Information Science,3132,PA
College of Arts and Sciences,Charleston,College of Natural Science,Scholarship,2960,2015-12-11,Biochemistry and Molecular Biology/Biotechnology,3133,SC
Trustees Fund,Chicago,College of Social Science,Endowment,1269,2015-02-10,History,3134,IL
Diversity Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,4638,2015-03-22,Animal Science,3135,CA
University Libraries,Spokane,College of Social Science,Campus Resource,3204,2015-12-10,Criminal Justice,3136,WA
Trustees Fund,Chicago,College of Arts and Sciences,Endowment,4616,2015-08-23,Spanish,3137,IL
Athletics,Los Angeles,College of Music,Campus Resource,10028,2015-01-19,Music Performance,3138,CA
College of Agriculture and Natural Resources,Richmond,College of Arts and Sciences,Scholarship,10135,2015-06-17,Apparel and Textiles,3139,VA
University Annual Fund,Chicago,College of Agriculture and Natural Resources,Endowment,12231,2015-05-23,Agribusiness Management,3140,IL
Honors Program,Denver,College of Education,Campus Resource,12591,2015-04-20,Special Education-Learning Disabilities,3141,CO
College of Agriculture and Natural Resources,Dallas,College of Natural Science,Scholarship,13614,2015-07-22,Human Biology,3142,TX
Trustees Fund,Phoenix,College of Natural Science,Endowment,7661,2015-08-17,Physical Science Interdepartmental,3143,AZ
Campus Museums,Sacramento,College of Business,Campus Resource,4782,2015-02-06,General Management,3144,CA
College of Agriculture and Natural Resources,Atlanta,College of Nursing,Scholarship,11021,2015-02-25,Nursing,3145,GA
College of Natural Science,Kansas City,College of Natural Science,Scholarship,1842,2015-12-26,"Mathematics, Advanced",3146,MO
In-State Scholarship Fund,Oklahoma City,College of Arts and Sciences,Scholarship,6632,2015-08-08,Women's and Gender Studies,3147,OK
College of Natural Science,Nashville,College of Social Science,Scholarship,4134,2015-11-22,Interdisciplinary Studies in Social Science - Social Science Education,3148,TN
Diversity Fund,Colorado Springs,College of Arts and Sciences,Endowment,11490,2015-01-14,Apparel and Textile Design,3149,CO
In-State Scholarship Fund,Los Angeles,College of Natural Science,Scholarship,13610,2015-08-30,Biochemistry and Molecular Biology/Biotechnology,3150,CA
College of Agriculture and Natural Resources,Tallahassee,College of Natural Science,Scholarship,14400,2015-07-03,"Mathematics, Advanced",3151,FL
College of Agriculture and Natural Resources,Denver,College of Natural Science,Scholarship,1329,2015-11-20,Biochemistry and Molecular Biology/Biotechnology,3152,CO
College of Natural Science,St. Louis,College of Agriculture and Natural Resources,Scholarship,13292,2015-03-06,Agriculture and Natural Resources-No Preference,3153,MO
Alumni Association,Denver,College of Social Science,Campus Resource,20578.5,2015-02-27,Criminal Justice,3154,CO
Parents Association,Tallahassee,College of Natural Science,Campus Resource,8682,2015-03-26,Genomics & Molecular Genetics,3155,FL
College of Veterinary Medicine,Baton Rouge,College of Natural Science,Scholarship,3095,2015-06-29,Zoology,3156,LA
Diversity Fund,San Diego,College of Arts and Sciences,Endowment,10621,2015-05-24,Professional Writing,3157,CA
University Annual Fund,Springfield,College of Engineering,Endowment,15159,2015-03-10,Applied Engineering Sciences,3158,IL
Trustees Fund,Phoenix,College of Communication Arts and Sciences,Endowment,11573,2015-09-17,Media and Information,3159,AZ
Alumni Association,San Francisco,College of Social Science,Campus Resource,13663,2015-12-21,Political Science-Prelaw,3160,CA
Diversity Fund,Jacksonville,College of Social Science,Endowment,12688,2015-01-31,Global & Area Studies - Soc Sci,3161,FL
College of Social Science,Miami,College of Social Science,Scholarship,12593,2015-08-08,Geography,3162,FL
Faculty Chair Endowments,Phoenix,College of Arts and Sciences,Endowment,6365,2015-10-16,Interdisciplinary Humanities,3163,AZ
Athletics,Phoenix,College of Engineering,Campus Resource,11182,2015-08-30,Computer Science,3164,AZ
College of Natural Science,Overland Park,College of Agriculture and Natural Resources,Scholarship,7275,2015-11-09,Environmental Studies and Agriscience,3165,KS
College of Natural Science,Austin,College of Agriculture and Natural Resources,Scholarship,5901,2015-02-11,Agriculture and Natural Resources-No Preference,3166,TX
In-State Scholarship Fund,Winston-salem,College of Agriculture and Natural Resources,Scholarship,15249,2015-11-29,Fisheries and Wildlife,3167,NC
Alumni Association,Charlotte,College of Political Science,Campus Resource,981,2015-03-19,Social Relations and Policy,3168,NC
Faculty Chair Endowments,Boston,College of Agriculture and Natural Resources,Endowment,2021,2015-07-08,Agriculture and Natural Resources-No Preference,3169,MA
Faculty Chair Endowments,San Diego,College of Social Science,Endowment,6684,2015-11-08,Interdisciplinary Studies in Social Science,3170,CA
College of Agriculture and Natural Resources,Orlando,College of Agriculture and Natural Resources,Scholarship,13280,2015-09-22,Animal Science,3171,FL
College of Arts and Sciences,Sacramento,College of Agriculture and Natural Resources,Scholarship,4558,2015-06-18,Interior Design,3172,CA
College of Political Science,West Valley City,College of Natural Science,Scholarship,7416,2015-05-23,Biomedical Laboratory Science,3173,UT
Diversity Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,6691,2015-11-02,Horticulture,3174,CA
College of Social Science,El Paso,College of Business,Scholarship,11555,2015-06-11,Marketing,3175,TX
Faculty Chair Endowments,Kansas City,College of Business,Endowment,12361,2015-01-24,Finance,3176,MO
College of Social Science,Seattle,College of Natural Science,Scholarship,3547,2015-08-22,Biomedical Laboratory Science,3177,WA
Trustees Fund,San Diego,College of Natural Science,Endowment,9649,2015-01-31,Microbiology,3178,CA
University Annual Fund,Springfield,College of Natural Science,Endowment,2734,2015-03-27,Environmental Geosciences,3179,AR
College of Arts and Sciences,Phoenix,College of Social Science,Scholarship,1467,2015-11-01,Political Science,3180,AZ
Trustees Fund,Spokane,College of Agriculture and Natural Resources,Endowment,3230,2015-12-03,Agribusiness Management,3181,WA
College of Arts and Sciences,New York,College of Arts and Sciences,Scholarship,13617,2015-10-19,Apparel and Textiles,3182,NY
Alumni Association,Indianapolis,College of Natural Science,Campus Resource,13683,2015-01-24,Biological Science Interdepartmental,3183,IN
College of Arts and Sciences,Knoxville,College of Social Science,Scholarship,7181,2015-09-28,History,3184,TN
Trustees Fund,Orlando,College of Music,Endowment,7385,2015-07-15,Composition,3185,FL
